brands,categories,countries,energy-kcal_100g,fat_100g,nutrition_data,nutrition_data_prepared_per,nutrition_grades,product_name,proteins_100g,fiber_100g,nutrition_data_per,salt_100g,saturated-fat_100g,sugars_100g,nutriments_estimated,serving_quantity,nutrition_data_prepared,no_nutrition_data
Danone,"Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté","France, Morocco, en:united-states",,,on,100g,a,Ain Saïss,,,100g,,,,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'calcium_100g': 0.00713, 'carbohydrates_100g': 0, 'cholesterol_100g': 0, 'copper_100g': 1.7e-05, 'energy-kcal_100g': 0, 'energy-kj_100g': 0, 'energy_100g': 0, 'fat_100g': 0, 'fiber_100g': 0, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 0, 'iron_100g': 3e-05, 'lactose_100g': 0, 'magnesium_100g': 0.00099, 'maltose_100g': 0, 'manganese_100g': 8.2e-07, 'pantothenic-acid_100g': 0, 'phosphorus_100g': 0, 'phylloquinone_100g': 0, 'polyols_100g': 0, 'potassium_100g': 0.00073, 'proteins_100g': 0, 'salt_100g': 0.0076, 'saturated-fat_100g': 0, 'selenium_100g': 5e-07, 'sodium_100g': 0.0024, 'starch_100g': 0, 'sucrose_100g': 0, 'sugars_100g': 0, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0, 'vitamin-b2_100g': 0, 'vitamin-b6_100g': 0, 'vitamin-b9_100g': 0, 'vitamin-c_100g': 0, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0, 'vitamin-pp_100g': 0, 'water_100g': 100, 'zinc_100g': 1.1e-05}",,,
AQUAFINA,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux de table","Morocco, United States, en:france",0.0,0.0,on,100g,a,اكوافينا,0.0,0.0,100g,0.000508,0.0,0.0,,,,
Perly,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures","France, Morocco, en:united-states",101.0,6.0,on,100g,a,,7.6,0.0,,0.0,0.0,0.0,,,,
Sidi Ali,Eaux minérales naturelles,"Morocco, United States, en:france",0.0,0.0,on,100g,a,6111035000027,0.0,,100g,0.0065,0.0,0.0,,,,
"La Boulangère,La Boulangère Bio","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pains,Pains de mie,en:Packaged breads,Pains complets,Pains de mie complet","France,Suisse",268.0,4.2,on,100g,c,Pain De Mie Bio,8.1,4.9,100g,1.1,0.4,6.3,"{'alcohol_100g': 0.00555, 'beta-carotene_100g': 3.012e-06, 'calcium_100g': 0.0254847975, 'cholesterol_100g': 1.1025e-05, 'copper_100g': 0.000194017175, 'fructose_100g': 0.09385125, 'galactose_100g': 0, 'glucose_100g': 0.10407, 'iodine_100g': 1.6357125e-05, 'iron_100g': 0.001669652, 'lactose_100g': 0.0615375, 'magnesium_100g': 0.055138485, 'maltose_100g': 0.6634875, 'manganese_100g': 0.001473664225, 'pantothenic-acid_100g': 0.00047137875, 'phosphorus_100g': 0.175007, 'phylloquinone_100g': 3.0762375e-06, 'polyols_100g': 0.0567, 'potassium_100g': 0.239613965, 'selenium_100g': 6.443875e-06, 'starch_100g': 34.2075375, 'sucrose_100g': 3.29855625, 'vitamin-a_100g': 3.3075e-07, 'vitamin-b12_100g': 1.071e-08, 'vitamin-b1_100g': 0.00052345125, 'vitamin-b2_100g': 4.087125e-05, 'vitamin-b6_100g': 0.00011033175, 'vitamin-b9_100g': 3.816225e-05, 'vitamin-c_100g': 0.00016425, 'vitamin-d_100g': 7.8195e-08, 'vitamin-e_100g': 0.00134744325, 'vitamin-pp_100g': 0.000914415, 'water_100g': 37.97045725, 'zinc_100g': 0.0014577405}",,,
Original,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cream cheeses","France, Morocco, en:united-states",257.0,18.0,on,100g,a,Cream cheese,10.0,0.0,100g,0.0,0.0,0.0,,,,
Ain atlas,"Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters","Morocco, United States, en:france",0.0,0.0,on,100g,a,Eau minéral naturelle,0.0,0.0,100ml,0.0,0.0,0.0,,,,
Lindt,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar, Botanas, Cacao y sus productos, Chocolates negros, Chocolates negros extra finos, Snacks dulces, en:extra-fine-dark-chocolates","Algeria,Austria,Belgium,Bulgaria,Canada,Czech Republic,Finland,France,French Polynesia,Germany,Ireland,Italy,Mauritius,Monaco,Morocco,Netherlands,Norway,Poland,Portugal,Réunion,Romania,Singapore,Spain,Sweden,Switzerland,Tunisia,United Kingdom",592.0,55.0,on,100g,d,Edelbitter-Schokolade,10.0,12.0,,0.03,30.0,7.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 2.34375e-07, 'cholesterol_100g': 0, 'fructose_100g': 0.009375, 'galactose_100g': 0, 'glucose_100g': 0.009375, 'iodine_100g': 9.65625e-07, 'lactose_100g': 0.009375, 'maltose_100g': 0.009375, 'pantothenic-acid_100g': 7.6875e-05, 'phosphorus_100g': 0.0646875, 'phylloquinone_100g': 3.65625e-07, 'polyols_100g': 0.0234375, 'sucrose_100g': 9.440625, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b9_100g': 1.003125e-05, 'vitamin-pp_100g': 0.0001078125, 'water_100g': 0.3440625}",,,
Coca-Cola,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas,Non-alcoholic beverages,Colas,Sweetened beverages","Algeria, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Cameroon, Croatia, France, Germany, Hungary, Italy, Kazakhstan, Morocco, Pakistan, Poland, Portugal, Réunion, Russia, Senegal, Serbia, Spain, Sweden, Switzerland, Tunisia, Turkey, Ukraine, United Kingdom, United States, en:greece",42.0,0.0,on,100g,e,Cocacola original  500,0.0,0.0,,0.0,0.0,10.6,,,,
Salim,"Dairies, Milks, Fresh milks, en:semi-skimmed-milks","France, Morocco, en:united-states",45.0,1.5,on,100g,b,,3.0,,100ml,0.0,1.0,0.0,"{'alcohol_100g': 0.0, 'beta-carotene_100g': 9.45e-06, 'cholesterol_100g': 0.0057, 'copper_100g': 8.7e-06, 'fiber_100g': 0.0, 'fructose_100g': 0.05, 'galactose_100g': 0.05, 'glucose_100g': 0.05, 'iodine_100g': 1.21e-05, 'iron_100g': 4.5e-05, 'lactose_100g': 4.66, 'magnesium_100g': 0.0121, 'maltose_100g': 0.05, 'manganese_100g': 3.1e-06, 'pantothenic-acid_100g': 0.00041, 'phosphorus_100g': 0.0891, 'phylloquinone_100g': 2e-07, 'polyols_100g': 0.0, 'potassium_100g': 0.167, 'selenium_100g': 5e-06, 'starch_100g': 0.0, 'sucrose_100g': 0.05, 'vitamin-a_100g': 1.92e-05, 'vitamin-b12_100g': 3.8e-07, 'vitamin-b1_100g': 6e-05, 'vitamin-b2_100g': 0.00018, 'vitamin-b6_100g': 3.7e-05, 'vitamin-b9_100g': 9.49e-06, 'vitamin-c_100g': 0.0015, 'vitamin-d_100g': 2.5e-07, 'vitamin-e_100g': 0.00013, 'vitamin-pp_100g': 9.3e-05, 'water_100g': 89.4, 'zinc_100g': 0.00039}",,,
Yoplait,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Desserts lactés fermentés nature,Skyrs,Skyrs nature","Belgique,France,Irlande,Royaume-Uni",57.0,0.105,on,100g,a,Skyr nature 0%,9.5,0.0,,0.1375,0.065,3.6,"{'alcohol_100g': 0, 'beta-carotene_100g': 6e-06, 'fructose_100g': 0.05, 'galactose_100g': 0.47, 'glucose_100g': 0.064, 'iodine_100g': 2.63e-05, 'lactose_100g': 2.11, 'maltose_100g': 0.05, 'phylloquinone_100g': 2e-07, 'polyols_100g': 0, 'sucrose_100g': 0.05, 'vitamin-b12_100g': 3.3e-07, 'vitamin-b1_100g': 4e-05, 'vitamin-b2_100g': 0.00026, 'vitamin-b6_100g': 5.7e-05, 'vitamin-b9_100g': 2.5e-05, 'vitamin-d_100g': 8e-07, 'vitamin-pp_100g': 0.00019, 'water_100g': 88.6}",,,
Jaouda,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts natures","Morocco, United States, en:france",78.5,3.3,on,100g,b,Yaourt nature,4.2,0.0,100g,0.0,2.4,0.0,,,,
pepsi,"Eaux,Eaux de table","Morocco, en:united-states",0.0,0.0,on,100g,b,اكوافينا,0.0,,100ml,0.0,0.0,0.0,,,,
la Boulangère,Pains de mie,France,294.117647058823,9.6,on,100g,a,Pain de mie grandes tranches Seigle & Graines 500g,12.0,7.2,100g,0.96,1.0,4.2,,,,
Quaker,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis,Cereals with nuts,Crunchy cereal clusters,Cereal clusters with nuts","Belgium, France, French Polynesia, Germany, Guadeloupe, Italy, Luxembourg, Martinique, Réunion, Slovenia, Spain, Switzerland, United Kingdom, en:netherlands",462.0,19.0,on,100g,b,cruesly mélange de noix,8.5,10.0,100g,0.0,2.0,12.0,,,,
"Ekibio,Le pain des Fleurs","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Cereals and their products,Extruded crispbreads","Belgium, France, Luxembourg, Netherlands, Senegal, Switzerland, en:morocco",388.0,2.8,on,100g,a,Tartines craquantes au sarrasin imp,13.4,4.4,100g,0.68,0.6,2.6,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'calcium_100g': 0.0239866, 'cholesterol_100g': 0, 'copper_100g': 0.00048871, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0.00732, 'iodine_100g': 6.2684, 'lactose_100g': 0, 'maltose_100g': 0.0976, 'manganese_100g': 0.001269406, 'pantothenic-acid_100g': 0.0014152, 'phosphorus_100g': 0.257696, 'phylloquinone_100g': 6.832e-06, 'polyols_100g': 0, 'potassium_100g': 0.380346, 'selenium_100g': 4.8844e-06, 'starch_100g': 66.7584, 'sucrose_100g': 2.018448, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0.00037088, 'vitamin-b2_100g': 0.00014678, 'vitamin-b6_100g': 0.00044896, 'vitamin-b9_100g': 6.51968e-05, 'vitamin-c_100g': 0.000244, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.00031232, 'vitamin-pp_100g': 0.004636, 'water_100g': 11.828, 'zinc_100g': 0.002245552}",,,
Gerblé,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits","Belgium,Bulgaria,France,Germany,Morocco,Réunion,Switzerland,United States",467.0,18.0,on,100g,c,Sésame,10.0,4.6,100g,0.38,2.0,17.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 4.8596e-06, 'calcium_100g': 0.12227384, 'cholesterol_100g': 0, 'copper_100g': 0.0003854756, 'fructose_100g': 0.0683194, 'galactose_100g': 0, 'glucose_100g': 0.068542, 'iodine_100g': 7.0774e-06, 'iron_100g': 0.0034118, 'lactose_100g': 0.0678, 'maltose_100g': 0.6710794, 'manganese_100g': 0.0024230014, 'pantothenic-acid_100g': 0.00037772, 'phosphorus_100g': 0.25541, 'phylloquinone_100g': 8.10498e-06, 'polyols_100g': 0, 'potassium_100g': 0.27929028, 'selenium_100g': 1.0669e-05, 'starch_100g': 38.0068, 'sucrose_100g': 11.67052, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0.00031726, 'vitamin-b2_100g': 3.9232e-05, 'vitamin-b6_100g': 0.0001972, 'vitamin-b9_100g': 3.40408e-05, 'vitamin-c_100g': 0.0001695, 'vitamin-d_100g': 8.814e-08, 'water_100g': 8.52984, 'zinc_100g': 0.002555008}",,,
Lindt,"Produits fermentés,Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolat noir en tablette extra dégustation à 70% de cacao minimum","Algérie,Belgique,République tchèque,France,Allemagne,Guadeloupe,Italie,Maroc,La Réunion,Espagne,Suisse",566.0,41.0,on,100g,e,Excellence 70% cacao noir intense,9.5,,,0.02,24.0,30.0,,,,
Nutella,Pâtes à tartiner,"Belgique,France,Allemagne,Inde,Italie,Luxembourg,Maroc,Pays-Bas,Philippines,Pologne,Roumanie,Espagne,Suisse,Turquie,Royaume-Uni,États-Unis",539.0,30.9,on,100g,e,Nutella,6.3,,,0.107,10.6,56.3,,,,
Lindt,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette","Autriche,Belgique,France,Allemagne,Italie,Maroc,Pays-Bas,La Réunion,Espagne,Suisse",584.0,46.0,on,100g,e,Excellence 85% cacao,12.5,0.0,100g,0.02,27.0,15.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 5e-07, 'calcium_100g': 0.03215, 'cholesterol_100g': 0, 'copper_100g': 0.00078255, 'fructose_100g': 0.0605, 'galactose_100g': 0, 'glucose_100g': 0.0665, 'iodine_100g': 2.015e-06, 'iron_100g': 0.0097955, 'lactose_100g': 0.02, 'magnesium_100g': 0.100925, 'maltose_100g': 0.02, 'manganese_100g': 0.0008232, 'pantothenic-acid_100g': 0.0001705, 'phosphorus_100g': 0.13815, 'phylloquinone_100g': 7.8e-07, 'polyols_100g': 0.14, 'potassium_100g': 0.79135, 'selenium_100g': 2.05e-06, 'starch_100g': 1.7, 'sucrose_100g': 4.87, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 1.52e-05, 'vitamin-b2_100g': 2.4e-05, 'vitamin-b6_100g': 3.05e-06, 'vitamin-b9_100g': 2.145e-05, 'vitamin-c_100g': 5e-05, 'vitamin-d_100g': 5.46e-07, 'vitamin-e_100g': 0.001382, 'vitamin-pp_100g': 0.0002355, 'water_100g': 0.7655, 'zinc_100g': 0.00128225}",,,
Jardin Bio étic,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Petit-déjeuners,Produits à tartiner,Fruits à coques et dérivés,Pâtes à tartiner végétales,Produits à tartiner sucrés,Purées d'oléagineux,Beurres de légumineuses,Pâtes à tartiner,Beurres de fruits à coques,Beurres de cacahuètes","Belgium, France, Morocco, Réunion, Spain, Switzerland, en:guadeloupe",628.0,51.0,on,100g,b,Pur beurre de cacahuète,27.0,6.5,100g,0.0,9.9,5.1,"{'alcohol_100g': 0, 'beta-carotene_100g': 2.5e-06, 'calcium_100g': 0.057, 'cholesterol_100g': 0, 'copper_100g': 0.00046, 'fructose_100g': 0.1, 'galactose_100g': 0, 'glucose_100g': 0.1, 'iodine_100g': 1e-05, 'iron_100g': 0.0016, 'lactose_100g': 0.1, 'magnesium_100g': 0.19, 'maltose_100g': 0.1, 'manganese_100g': 0.0014, 'pantothenic-acid_100g': 0.00176, 'phosphorus_100g': 0.4, 'phylloquinone_100g': 4e-07, 'polyols_100g': 0, 'potassium_100g': 0.7, 'selenium_100g': 3e-05, 'sucrose_100g': 5.9, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0.00043, 'vitamin-b2_100g': 2.4e-05, 'vitamin-b6_100g': 0.0004, 'vitamin-b9_100g': 8.93e-05, 'vitamin-c_100g': 0.00025, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.00246, 'vitamin-pp_100g': 0.0106, 'water_100g': 2.2, 'zinc_100g': 0.003}",,,
la Hollandaise,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, en:cheddar-slices","Morocco, United States, en:france",270.0,21.0,on,100g,d,Cheddar,9.0,,100g,1.5,12.0,6.0,,,,
Rigoni di Asiago,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes et au cacao","France, en:reunion",544.0,32.0,on,100g,e,Rigoni di Asiago - Nocciolata bio,8.1,3.6,100g,0.12,5.7,51.0,"{'alcohol_100g': 1.06925, 'beta-carotene_100g': 3.5415e-06, 'calcium_100g': 0.189047725, 'cholesterol_100g': 0.001625, 'copper_100g': 0.00058033625, 'fructose_100g': 0.02525, 'galactose_100g': 0.01875, 'glucose_100g': 0.06225, 'iodine_100g': 4.74575e-06, 'iron_100g': 0.0037845925, 'lactose_100g': 6.6625, 'magnesium_100g': 0.07692975, 'maltose_100g': 0.02525, 'manganese_100g': 0.00090201075, 'pantothenic-acid_100g': 0.0007942, 'phosphorus_100g': 0.22923375, 'phylloquinone_100g': 3.9e-07, 'polyols_100g': 0.01625, 'potassium_100g': 0.6299875, 'selenium_100g': 7.3875e-06, 'starch_100g': 0.5858, 'sucrose_100g': 41.07925, 'vitamin-a_100g': 1.21875e-06, 'vitamin-b12_100g': 5.025e-07, 'vitamin-b1_100g': 0.00012344, 'vitamin-b2_100g': 0.0002192275, 'vitamin-b6_100g': 9.22925e-05, 'vitamin-b9_100g': 2.34545e-05, 'vitamin-c_100g': 0.000825, 'vitamin-d_100g': 2.2e-07, 'vitamin-e_100g': 0.010279525, 'vitamin-pp_100g': 0.00031985, 'water_100g': 3.9883, 'zinc_100g': 0.001413375}",,,
nutella,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes,Pâtes à tartiner aux noisettes et au cacao","Algeria,Belgium,Bulgaria,France,Germany,Guadeloupe,India,Italy,Luxembourg,Martinique,Morocco,Réunion,Spain,Switzerland,Tunisia,United Kingdom,United States",539.0,30.9,on,100g,e,Nutella,6.3,,100g,0.107,10.6,56.3,,,,
Les eaux minérales d'Oulmès S.A.,"Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales naturelles,Eaux minérales gazeuses","France, Morocco, en:united-states",,,on,100g,a,Oulmes natural carbonated water,,,100g,0.078375,,,,,,
tonik,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Wafers,Chocolate biscuits,Stuffed wafers,Chocolate stuffed wafers","Morocco, United States, en:france",504.347826086957,22.1739130434783,on,100g,e,Tonik,4.34782608695652,0.434782608695652,100g,0.217391304347826,10.8695652173913,40.0,,,,
Bjorg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Chocolate biscuits, Filled biscuits, Dark chocolate biscuits, Sandwich biscuits","France, Luxembourg, Switzerland, en:reunion",476.0,19.0,on,100g,d,Fourrés Chocolat Noir,7.6,5.2,100g,0.49,6.3,27.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 3.434375e-06, 'calcium_100g': 0.0338873375, 'cholesterol_100g': 0.001376025, 'copper_100g': 0.000513133125, 'fructose_100g': 0.07900625, 'galactose_100g': 6.25e-06, 'glucose_100g': 0.07900625, 'iodine_100g': 9.633625e-06, 'lactose_100g': 0.2449375, 'maltose_100g': 0.61480625, 'manganese_100g': 0.00162957175, 'pantothenic-acid_100g': 0.0003813375, 'phosphorus_100g': 0.190033125, 'phylloquinone_100g': 1.8591125e-06, 'polyols_100g': 0.055, 'potassium_100g': 0.3324790625, 'selenium_100g': 8.99140625e-06, 'starch_100g': 34.769, 'sucrose_100g': 22.72020625, 'vitamin-a_100g': 2.34046875e-06, 'vitamin-b12_100g': 8.95625e-08, 'vitamin-b1_100g': 0.00017814375, 'vitamin-b2_100g': 3.52525e-05, 'vitamin-b6_100g': 6.51125e-05, 'vitamin-b9_100g': 2.61999375e-05, 'vitamin-c_100g': 0.0002165625, 'vitamin-d_100g': 5.5098125e-07, 'vitamin-e_100g': 0.001314034375, 'vitamin-pp_100g': 0.00013914375, 'water_100g': 7.309590625, 'zinc_100g': 0.00176111875}",,,
Harrys,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Breads,Sliced breads,Wholemeal breads,Wholemeal sliced breads",France,280.0,6.8,on,100g,b,Pain de mie american sandwich complet sans sucres ajoutés 600g,7.7,8.1,100g,1.1,0.5,3.6,"{'alcohol_100g': 0.000228125, 'beta-carotene_100g': 3.32370361328125e-06, 'calcium_100g': 0.020285781484375, 'cholesterol_100g': 1.24755859375e-07, 'copper_100g': 0.000191017515234375, 'fructose_100g': 0.0743565039062499, 'galactose_100g': 0, 'glucose_100g': 0.0799313085937499, 'iodine_100g': 1.0940791015625e-05, 'iron_100g': 0.00146573508203125, 'lactose_100g': 0.06700517578125, 'magnesium_100g': 0.048652716484375, 'maltose_100g': 0.6882278515625, 'manganese_100g': 0.00145428502820312, 'pantothenic-acid_100g': 0.00032, 'phosphorus_100g': 0.14591317578125, 'phylloquinone_100g': 1.569017578125e-06, 'polyols_100g': 0.00228125, 'potassium_100g': 0.18722685078125, 'selenium_100g': 6.939069140625e-06, 'starch_100g': 39.1409613476563, 'sucrose_100g': 0.37093025390625, 'vitamin-a_100g': 3.74267578125e-09, 'vitamin-b12_100g': 1.2119140625e-10, 'vitamin-b1_100g': 0.000176346140625, 'vitamin-b2_100g': 3.7020703125e-06, 'vitamin-b6_100g': 7.3283234375e-05, 'vitamin-b9_100g': 1.74440423828125e-05, 'vitamin-c_100g': 0.000185004423828125, 'vitamin-d_100g': 8.5846337890625e-08, 'vitamin-e_100g': 0.00102764430664062, 'vitamin-pp_100g': 4.151048828125e-05, 'water_100g': 39.5091391328125, 'zinc_100g': 0.001262844296875}",,,
